98922941 function calls (84103311 primitive calls) in 94.514 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
63232/49036    0.075    0.000    5.075    0.000 deprecation.py:292(wrapper)
     2328    0.075    0.000    0.274    0.000 city_util.py:15(find_city)
      751    0.074    0.000    0.091    0.000 cycler.py:364(by_key)
   266025    0.073    0.000    0.073    0.000 artist.py:293(axes)
    16194    0.073    0.000    0.113    0.000 font_manager.py:645(__hash__)
    13959    0.073    0.000    0.370    0.000 path.py:99(__init__)
    79501    0.073    0.000    0.073    0.000 {built-in method numpy.asanyarray}
      145    0.072    0.000    0.072    0.000 {method 'copy' of 'ImagingCore' objects}
  880/450    0.072    0.000    4.034    0.009 axis.py:912(reset_ticks)
   153914    0.072    0.000    0.130    0.000 transforms.py:198(<lambda>)
    31129    0.072    0.000    0.072    0.000 {method 'reshape' of 'numpy.ndarray' objects}
43252/42099    0.072    0.000    4.241    0.000 contextlib.py:123(__exit__)
   145671    0.072    0.000    0.110    0.000 coordinate_with_side.py:11(__eq__)
    17684    0.071    0.000    0.547    0.000 transforms.py:814(from_extents)
    31834    0.071    0.000    0.167    0.000 lines.py:1294(set_ydata)
    61994    0.071    0.000    0.071    0.000 {method 'match' of 're.Pattern' objects}
     4464    0.070    0.000    0.172    0.000 backend_bases.py:884(set_dashes)
    32638    0.070    0.000    0.216    0.000 units.py:56(_is_natively_supported)
    30048    0.070    0.000    0.145    0.000 transforms.py:2040(translate)
   187908    0.070    0.000    0.070    0.000 {method 'pop' of 'dict' objects}
     3188    0.069    0.000    0.279    0.000 road_util.py:31(find_road)
    34947    0.069    0.000    0.192    0.000 cbook.py:924(get_siblings)
75331/44059    0.068    0.000    0.080    0.000 transforms.py:2417(<lambda>)
     4652    0.067    0.000    0.141    0.000 transforms.py:2834(nonsingular)
   292198    0.067    0.000    0.067    0.000 {method 'values' of 'dict' objects}
     8337    0.067    0.000    0.069    0.000 _stride_tricks_impl.py:425(_broadcast_shape)
    14749    0.066    0.000    0.190    0.000 transforms.py:2594(__init__)
      144    0.066    0.000   15.016    0.104 helper_plotting.py:259(plot_carcassonne_board)
    51458    0.066    0.000    0.137    0.000 colors.py:216(_is_nth_color)
   118118    0.065    0.000    0.147    0.000 {method 'add' of 'set' objects}
        1    0.064    0.064    0.064    0.064 {built-in method _tkinter.create}
